"","homeCode","awayCode","homeTeam","awayTeam","homeScore","awayScore","date","gameID","winner","loser","type","previousHomeElo","previousAwayElo","newHomeElo","newAwayElo"
"1168","SF","OAK","FlameThrowers","Spiders",17,23,2014-07-12,"2014-07-12-SJ-SF","Spiders","FlameThrowers","regular",1559.24046831587,1616.75668445083,1527.12062439965,1648.87652836705
"1169","NY","DC","Empire","Breeze",13,14,2014-07-12,"2014-07-12-DC-NY","Breeze","Empire","regular",1582.45840703394,1488.4273326088,1568.06126262167,1502.82447702107
"1165","MIN","IND","Wind Chill","AlleyCats",25,15,2014-07-13,"2014-07-13-IND-MIN","Wind Chill","AlleyCats","regular",1439.48956511226,1456.82359407509,1466.05950369026,1430.2536554971
"1164","OAK","SF","Spiders","FlameThrowers",26,16,2014-07-18,"2014-07-18-SF-SJ","Spiders","FlameThrowers","playoff",1648.87652836705,1527.12062439965,1667.88384875396,1508.11330401274
"1161","MAD","IND","Radicals","AlleyCats",25,16,2014-07-19,"2014-07-19-IND-MAD","Radicals","AlleyCats","playoff",1632.35787021947,1430.2536554971,1644.45941293188,1418.15211278469
"1162","TOR","DC","Rush","Breeze",37,12,2014-07-19,"2014-07-19-DC-TOR","Rush","Breeze","playoff",1610.06047736265,1502.82447702107,1637.77994000039,1475.10501438332
"1163","NY","CHI","Empire","Union",22,17,2014-07-19,"2014-07-19-CHI-NY","Empire","Union","playoff",1568.06126262167,1482.35816587429,1584.95391067579,1465.46551782017
"1159","TOR","NY","Rush","Empire",31,16,2014-07-26,"2014-07-26-NY-TOR","Rush","Empire","playoff",1637.77994000039,1584.95391067579,1668.18808891162,1554.54576176457
"1160","OAK","MAD","Spiders","Radicals",23,20,2014-07-26,"2014-07-26-MAD-SJ","Spiders","Radicals","playoff",1667.88384875396,1644.45941293188,1685.18412785856,1627.15913382728
"1158","TOR","OAK","Rush","Spiders",18,28,2014-07-27,"2014-07-27-SJ-TOR","Spiders","Rush","playoff",1668.18808891162,1685.18412785856,1611.13836602369,1742.23385074649
"1152","SF","VAN","FlameThrowers","Riptide",26,25,2015-04-11,"2015-04-11-VAN-SF","FlameThrowers","Riptide","playoff",1508.11330401274,1426.24985141749,1514.76708333176,1419.59607209847
"1153","DC","TOR","Breeze","Rush",17,37,2015-04-11,"2015-04-11-TOR-DC","Rush","Breeze","playoff",1475.10501438332,1611.13836602369,1419.59797174986,1666.64540865715
"1154","LA","SEA","Aviators","Cascades",20,29,2015-04-11,"2015-04-11-SEA-LA","Cascades","Aviators","playoff",1400,1281.09695944481,1334.74073173694,1346.35622770787
"1155","IND","PIT","AlleyCats","Thunderbirds",20,28,2015-04-11,"2015-04-11-PIT-IND","Thunderbirds","AlleyCats","playoff",1418.15211278469,1400,1362.78746833947,1455.36464444522
"1156","CIN","DET","Revolution","Mechanix",25,17,2015-04-11,"2015-04-11-DET-CIN","Revolution","Mechanix","playoff",1271.80524420594,1117.16556051294,1286.58106888625,1102.38973583263
"1157","CAR","ATL","Flyers","Hustle",29,22,2015-04-11,"2015-04-11-ATL-RAL","Flyers","Hustle","playoff",1400,1400,1428.63687550907,1371.36312449093
"1147","OAK","VAN","Spiders","Riptide",32,26,2015-04-12,"2015-04-12-VAN-SJ","Spiders","Riptide","playoff",1742.23385074649,1419.59607209847,1747.50288256461,1414.32704028035
"1148","PHI","TOR","Phoenix","Rush",21,26,2015-04-12,"2015-04-12-TOR-PHI","Rush","Phoenix","playoff",1205.19419043718,1666.64540865715,1195.67573663322,1676.16386246111
"1149","SD","SEA","Growlers","Cascades",22,26,2015-04-12,"2015-04-12-SEA-SD","Cascades","Growlers","playoff",1400,1346.35622770787,1357.41159351976,1388.94463418811
"1150","NY","MTL","Empire","Royal",22,20,2015-04-12,"2015-04-12-MTL-NY","Empire","Royal","playoff",1554.54576176457,1360.79891842861,1560.58009353479,1354.76458665839
"1151","CHA","ATL","Express","Hustle",25,27,2015-04-12,"2015-04-12-ATL-CHA","Hustle","Express","playoff",1400,1371.36312449093,1371.88872369145,1399.47440079947
"1140","SEA","VAN","Cascades","Riptide",20,21,2015-04-18,"2015-04-18-VAN-SEA","Riptide","Cascades","playoff",1388.94463418811,1414.32704028035,1372.70029910533,1430.57137536314
"1141","OAK","SF","Spiders","FlameThrowers",29,26,2015-04-18,"2015-04-18-SF-SJ","Spiders","FlameThrowers","playoff",1747.50288256461,1514.76708333176,1753.68642252525,1508.58354337112
"1142","DC","OTT","Breeze","Outlaws",23,19,2015-04-18,"2015-04-18-OTT-DC","Breeze","Outlaws","playoff",1419.59797174986,1400,1440.01434398858,1379.58362776128
"1143","IND","MAD","AlleyCats","Radicals",18,26,2015-04-18,"2015-04-18-MAD-IND","Radicals","AlleyCats","playoff",1362.78746833947,1627.15913382728,1336.22471134375,1653.721890823
