"","homeCode","awayCode","homeTeam","awayTeam","homeScore","awayScore","date","gameID","winner","loser","type"
"1097","MAD","CHI","Radicals","Union",16,13,2015-05-15,"2015-05-15-CHI-MAD","Radicals","Union","regular"
"1086","ROC","TOR","Dragons","Rush",21,37,2015-05-16,"2015-05-16-TOR-ROC","Rush","Dragons","regular"
"1087","SF","SD","FlameThrowers","Growlers",18,21,2015-05-16,"2015-05-16-SD-SF","Growlers","FlameThrowers","regular"
"1088","DC","NY","Breeze","Empire",18,22,2015-05-16,"2015-05-16-NY-DC","Empire","Breeze","regular"
"1089","CHA","NSH","Express","Nightwatch",29,26,2015-05-16,"2015-05-16-NSH-CHA","Express","Nightwatch","regular"
"1090","OTT","MTL","Outlaws","Royal",25,24,2015-05-16,"2015-05-16-MTL-OTT","Outlaws","Royal","regular"
"1091","VAN","LA","Riptide","Aviators",27,24,2015-05-16,"2015-05-16-LA-VAN","Riptide","Aviators","regular"
"1092","IND","CIN","AlleyCats","Revolution",27,18,2015-05-16,"2015-05-16-CIN-IND","AlleyCats","Revolution","regular"
"1093","MIN","CHI","Wind Chill","Union",12,12,2015-05-16,"2015-05-16-CHI-MIN","DRAW","DRAW","regular"
"1094","TB","ATL","Cannons","Hustle",26,22,2015-05-16,"2015-05-16-ATL-JAX","Cannons","Hustle","regular"
"1084","CAR","NSH","Flyers","Nightwatch",33,22,2015-05-17,"2015-05-17-NSH-RAL","Flyers","Nightwatch","regular"
"1085","SEA","LA","Cascades","Aviators",29,19,2015-05-17,"2015-05-17-LA-SEA","Cascades","Aviators","regular"
"1083","MAD","MIN","Radicals","Wind Chill",27,10,2015-05-22,"2015-05-22-MIN-MAD","Radicals","Wind Chill","regular"
"1076","SEA","VAN","Cascades","Riptide",34,27,2015-05-23,"2015-05-23-VAN-SEA","Cascades","Riptide","regular"
"1077","SD","SF","Growlers","FlameThrowers",25,27,2015-05-23,"2015-05-23-SF-SD","FlameThrowers","Growlers","regular"
"1078","CHA","CAR","Express","Flyers",18,27,2015-05-23,"2015-05-23-RAL-CHA","Flyers","Express","regular"
"1079","MTL","NY","Royal","Empire",20,17,2015-05-23,"2015-05-23-NY-MTL","Royal","Empire","regular"
"1080","CHI","MIN","Union","Wind Chill",25,15,2015-05-23,"2015-05-23-MIN-CHI","Union","Wind Chill","regular"
"1081","TOR","DC","Rush","Breeze",33,21,2015-05-23,"2015-05-23-DC-TOR","Rush","Breeze","regular"
"1082","DET","CIN","Mechanix","Revolution",25,29,2015-05-23,"2015-05-23-CIN-DET","Revolution","Mechanix","regular"
"1072","VAN","OAK","Riptide","Spiders",31,24,2015-05-24,"2015-05-24-SJ-VAN","Riptide","Spiders","regular"
"1073","LA","SF","Aviators","FlameThrowers",23,22,2015-05-24,"2015-05-24-SF-LA","Aviators","FlameThrowers","regular"
"1074","OTT","NY","Outlaws","Empire",17,22,2015-05-24,"2015-05-24-NY-OTT","Empire","Outlaws","regular"
"1075","ROC","DC","Dragons","Breeze",25,26,2015-05-24,"2015-05-24-DC-ROC","Breeze","Dragons","regular"
"1071","ATL","CHA","Hustle","Express",26,18,2015-05-29,"2015-05-29-CHA-ATL","Hustle","Express","regular"
"1065","NY","ROC","Empire","Dragons",27,16,2015-05-30,"2015-05-30-ROC-NY","Empire","Dragons","regular"
"1066","TB","CAR","Cannons","Flyers",27,29,2015-05-30,"2015-05-30-RAL-JAX","Flyers","Cannons","regular"
"1067","OTT","PHI","Outlaws","Phoenix",28,18,2015-05-30,"2015-05-30-PHI-OTT","Outlaws","Phoenix","regular"
"1068","MIN","MAD","Wind Chill","Radicals",18,23,2015-05-30,"2015-05-30-MAD-MIN","Radicals","Wind Chill","regular"
"1069","OAK","LA","Spiders","Aviators",27,19,2015-05-30,"2015-05-30-LA-SJ","Spiders","Aviators","regular"
"1070","PIT","DET","Thunderbirds","Mechanix",44,20,2015-05-30,"2015-05-30-DET-PIT","Thunderbirds","Mechanix","regular"
